pair,open_date,close_date,open_rate,close_rate,amount,stake_amount,profit_abs,profit_ratio,exit_reason,trade_duration,is_short
BTC/USDT,2025-04-14 18:05:00+00:00,2025-04-14 20:10:00+00:00,84971.0,84751.7,0.002,169.942,-0.64226724,-0.0037770657679299987,exit_signal,125,False
ETH/USDT,2025-04-15 05:40:00+00:00,2025-04-15 06:25:00+00:00,1645.82,1635.44,0.11,181.0402,-1.35836316,-0.007498603242934481,exit_signal,45,False
SOL/USDT,2025-04-15 05:40:00+00:00,2025-04-15 09:05:00+00:00,132.09,132.24860316189714,1.4,184.926,0.00658158,3.5569002844099974e-05,roi,205,False
SOL/USDT,2025-04-15 09:10:00+00:00,2025-04-15 10:10:00+00:00,132.46,133.31,1.4,185.444,0.9667532,0.005210055304579596,roi,60,False
SOL/USDT,2025-04-15 10:15:00+00:00,2025-04-15 10:35:00+00:00,132.97,132.04,1.4,186.158,-1.5246084,-0.008184951404129321,exit_signal,20,False
SOL/USDT,2025-04-15 12:05:00+00:00,2025-04-15 12:25:00+00:00,132.61,131.78,1.4,185.654,-1.3840876,-0.007450729019642735,exit_signal,20,False
SOL/USDT,2025-04-15 13:00:00+00:00,2025-04-15 13:45:00+00:00,132.53,134.01522713628177,1.4,185.542,1.85542,0.009994003597841295,roi,45,False
ETH/USDT,2025-04-15 13:40:00+00:00,2025-04-15 14:00:00+00:00,1646.95,1627.79,0.11,181.1645,-2.32373284,-0.012818954245109815,exit_signal,20,False
BTC/USDT,2025-04-15 13:55:00+00:00,2025-04-15 14:00:00+00:00,85927.9,85542.8,0.002,171.8558,-0.97596484,-0.005675569938475514,exit_signal,5,False
SOL/USDT,2025-04-15 13:50:00+00:00,2025-04-15 14:05:00+00:00,134.32,131.57,1.4,188.048,-4.0733476,-0.02164822309711255,exit_signal,15,False
BTC/USDT,2025-04-16 14:40:00+00:00,2025-04-16 15:40:00+00:00,84341.3,84963.6,0.002,168.6826,1.04143412,0.006170225229036475,roi,60,False
SOL/USDT,2025-04-16 15:30:00+00:00,2025-04-16 16:40:00+00:00,129.11,127.08,1.5,193.665,-3.27547091,-0.01690293447921127,exit_signal,70,False
BTC/USDT,2025-04-16 15:55:00+00:00,2025-04-16 17:15:00+00:00,84749.0,85274.75925555332,0.002,169.498,0.85075655,0.0050162621515221694,roi,80,False
SOL/USDT,2025-04-16 16:55:00+00:00,2025-04-16 17:45:00+00:00,128.63,127.1,1.5,192.945,-2.525157,-0.013079596850456935,exit_signal,50,False
ETH/USDT,2025-04-16 17:20:00+00:00,2025-04-16 17:45:00+00:00,1602.6,1582.99,0.12,192.312,-2.58256248,-0.013420971502958701,exit_signal,25,False
SOL/USDT,2025-04-16 19:50:00+00:00,2025-04-16 21:50:00+00:00,132.44,132.61,1.4,185.416,0.015358,8.278029256140063e-05,roi,120,False
BTC/USDT,2025-04-16 19:55:00+00:00,2025-04-16 21:55:00+00:00,84385.1,84593.2,0.002,168.7702,0.21342604,0.001263837224600682,roi,120,False
SOL/USDT,2025-04-17 01:20:00+00:00,2025-04-17 02:15:00+00:00,131.96,131.26,1.4,184.744,-1.2011048,-0.0064975564524880096,exit_signal,55,False
ETH/USDT,2025-04-17 02:50:00+00:00,2025-04-17 03:30:00+00:00,1589.29,1578.17,0.12,190.7148,-1.56245712,-0.008187724329078157,exit_signal,40,False
SOL/USDT,2025-04-17 04:50:00+00:00,2025-04-17 05:30:00+00:00,130.72,132.18494296577947,1.4,183.008,1.83008,0.009994003597841295,roi,40,False
SOL/USDT,2025-04-17 05:35:00+00:00,2025-04-17 06:25:00+00:00,132.29,133.77253752251352,1.4,185.206,1.85206,0.009994003597841295,roi,50,False
